id,name,category,provider,region,api_key_required,connection_status,trust_rank,connection_priority
GSI-TILE-STD-001,地理院標準地図タイル,地図,国土地理院,JP,not_required,本格利用候補,A,5
GSI-TILE-PALE-001,地理院淡色地図タイル,地図,国土地理院,JP,not_required,接続検証済,A,5
GSI-TILE-PHOTO-001,地理院写真タイル,地図,国土地理院,JP,not_required,接続検証済,A,4
GSI-ELEVATION-001,地理院標高タイル,地形,国土地理院,JP,not_required,実装接続済,A,5
GSI-VECTOR-001,地理院Vector,地形,国土地理院,JP,not_required,接続候補,A,4
MLIT-KSJ-N03-001,国土数値情報 行政区域,行政,国土交通省,JP,not_required,本格利用候補,A,5
MLIT-KSJ-L03-001,国土数値情報 土地利用細分メッシュ,土地,国土交通省,JP,not_required,接続候補,A,4
MLIT-KSJ-A09-001,国土数値情報 都市地域,都市,国土交通省,JP,not_required,接続候補,A,4
MLIT-KSJ-ROAD-001,国土数値情報 道路密度・道路延長,交通,国土交通省,JP,not_required,接続候補,B,3
MLIT-KSJ-RAIL-001,国土数値情報 鉄道,交通,国土交通省,JP,not_required,接続候補,B,3
MLIT-KSJ-PORT-001,国土数値情報 港湾,交通,国土交通省,JP,not_required,接続候補,A,4
MLIT-KSJ-AIRPORT-001,国土数値情報 空港,交通,国土交通省,JP,not_required,接続候補,B,3
MLIT-KSJ-FLOOD-001,国土数値情報 洪水浸水想定区域,防災,国土交通省,JP,not_required,接続検証済,A,5
MLIT-KSJ-LANDSLIDE-001,国土数値情報 土砂災害警戒区域,防災,国土交通省,JP,not_required,接続候補,A,5
MLIT-KSJ-TSUNAMI-001,国土数値情報 津波浸水想定,防災,国土交通省,JP,not_required,接続候補,A,4
MLIT-KSJ-STORM-SURGE-001,国土数値情報 高潮浸水想定,防災,国土交通省,JP,not_required,接続候補,A,4
GSI-HAZARD-FLOOD-001,ハザードマップ洪水タイル,防災,国土地理院/国土交通省,JP,not_required,実装接続済,A,5
GSI-HAZARD-LANDSLIDE-001,ハザードマップ土砂災害タイル,防災,国土地理院/国土交通省,JP,not_required,接続候補,A,4
GSI-HAZARD-TSUNAMI-001,ハザードマップ津波タイル,防災,国土地理院/国土交通省,JP,not_required,接続候補,A,4
GSI-HAZARD-STORM-SURGE-001,ハザードマップ高潮タイル,防災,国土地理院/国土交通省,JP,not_required,接続候補,A,4
MLIT-REINFOLIB-LANDPRICE-001,不動産情報ライブラリ 地価公示,不動産,国土交通省,JP,unknown,接続検証済,A,4
MLIT-REINFOLIB-LANDPRICE-LOCAL-001,不動産情報ライブラリ 地価調査,不動産,国土交通省,JP,unknown,調査中,A,3
MLIT-REINFOLIB-TRADE-001,不動産情報ライブラリ 不動産取引価格,不動産,国土交通省,JP,unknown,調査中,B,3
MLIT-REINFOLIB-CITYPLAN-001,不動産情報ライブラリ 都市計画,都市,国土交通省,JP,unknown,調査中,A,4
MLIT-REINFOLIB-SCHOOL-001,不動産情報ライブラリ 学校,周辺,国土交通省,JP,unknown,調査中,C,2
MLIT-REINFOLIB-MEDICAL-001,不動産情報ライブラリ 医療機関,周辺,国土交通省,JP,unknown,調査中,C,2
MLIT-PLATEAU-001,PLATEAU 3D都市モデル,3D都市,国土交通省,JP,not_required,接続検証済,A,4
MLIT-PLATEAU-SDK-001,PLATEAU SDK/ユースケースデータ,3D都市,国土交通省,JP,not_required,接続候補,B,3
JMA-FORECAST-001,気象庁 天気予報JSON,気象,気象庁,JP,not_required,本格利用候補,B,5
JMA-AMEDAS-001,気象庁 アメダスJSON,気象,気象庁,JP,not_required,接続候補,B,4
JMA-WARNING-001,気象庁 警報注意報JSON,気象,気象庁,JP,not_required,接続候補,B,4
JMA-EARTHQUAKE-001,気象庁 地震情報,気象,気象庁,JP,not_required,調査中,B,3
JMA-TYPHOON-001,気象庁 台風情報,気象,気象庁,JP,not_required,調査中,B,3
MLIT-WATER-RAIN-001,水文水質データベース 雨量,河川,国土交通省,JP,not_required,調査中,B,3
MLIT-WATER-LEVEL-001,水文水質データベース 水位,河川,国土交通省,JP,not_required,調査中,B,3
MLIT-WATER-FLOW-001,水文水質データベース 流量,河川,国土交通省,JP,not_required,調査中,C,2
MLIT-RIVER-DISASTER-001,川の防災情報,河川,国土交通省,JP,not_required,調査中,B,3
JCG-UMISHIRU-001,海上保安庁 海しる,海象,海上保安庁,JP,unknown,調査中,A,3
NOWPHAS-WAVE-001,NOWPHAS 港湾波浪情報,海象,港湾空港技術研究所等,JP,unknown,調査中,A,3
MOE-AIR-POLLUTION-001,環境省 大気汚染物質広域監視,環境,環境省,JP,not_required,調査中,B,2
OSM-OVERPASS-001,OpenStreetMap Overpass API,国際地図,OSM,Global,not_required,接続候補,B,3
OSM-TILE-001,OSM Tile,国際地図,OSM,Global,not_required,調査中,B,2
OPENTOPOGRAPHY-API-001,OpenTopography API,国際地形,OpenTopography,Global,unknown,調査中,B,2
OVERTURE-MAPS-001,Overture Maps,国際建物,Overture Maps Foundation,Global,not_required,調査中,B,3
NOAA-NWS-001,NOAA NWS API,国際気象,NOAA/NWS,US,not_required,接続検証済,B,3
NOAA-CDO-001,NOAA Climate Data Online API,国際気象,NOAA/NCEI,US,required,保留,C,2
USGS-WATER-001,USGS Water Data APIs,国際水文,USGS,US,not_required,接続検証済,A,4
USGS-EARTHQUAKE-001,USGS Earthquake API,国際災害,USGS,Global,not_required,接続候補,A,3
OPENAQ-API-001,OpenAQ API,国際環境,OpenAQ,Global,unknown,調査中,B,2
NASA-FIRMS-001,NASA Earthdata / FIRMS,衛星,NASA,Global,required,保留,C,2
